experience,education,skills
"Sr Python developer, Sr PHP Developer / Team Leader","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
Agile Methodology, Agile Scrum, AJAX, Amazon Aws, Authorize.net, Bitbucket, Bootstrap, CODEIGNITER, Django, Drupal, FACEBOOK API, JAVASCRIPT, JIRA, Jquery, Laravel, Linux, Mysql, Pagekit, Paypal, Php, Python, Rest, Scrum Master, SMARTY, Symfony, Twilio, WORDPRESS
"
python Automation Testing,B.com.  ( Commerce )  ,"
, Python, CSS, Htm, Powerpoint Presentation, Sql
"
Python Developer,BE /  B.Tech  ( Engineering )  ,"
Python, Django, Flask, MySQL, Git, GitHub, Postman.
"
"python trainee, FR ENGINEER",BE /  B.Tech  ( Engineering )  ,"
Python, Django, Html5, CSS, Javascript, Html
"
Python developer,BE /  B.Tech  ( Engineering )  ,"
Python, CSS, html
"
Python Internship,"BCA  ( Computer Application )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2020
	                    
                    	","
Python, HTML, MySQL, Oops
"
python developer,BA  ( Arts )  ,"
Python, Django, Html5, Css3
"
"Python Developer Intern , Python Developer Intern","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2021
	                    
                    	","
Python, Django, Rest Api, HTML, CSS, JavaScript, MySQL, PostgreSQL, , Postman, Ubuntu
"
"Python Technical Specialist, Business Analyst","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2016
	                    
                    	","Planning/Organizing, Analytical Proficiency, Technical Proficiency,
Data Science, Excel, Machine Learning, MATLAB, Microsoft Excel, Microsoft Powerpoint, Microsoft Word, Microsoft Word 2003, Natural Language Processing, Python, Data Analyst, Data Scientist, data analytics, Big Data Analytics, Artificial Intelligence, deep learning, Microsoft SQL
"
"python intern, Sr Python developer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Interpersonal Abilities,
Python, D-jango, Machine Learning, sql, restapi
"
Python / django developer,Diploma-Engineering ,"
Python, JavaScript, Jquery, Html5, CSS, Django, React js
"
"Python Developer, Intern",BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Technical Proficiency, Planning/Organizing,
Python, Django, Postgresql, Mysql, HTML, Css, Javascript, django rest framework
"
Senior Python Develper,BE /  B.Tech  ( Engineering )  ,"
Html, Javascript, PHP and Scripting, Mysql, Ajax, Css, Python, Django, Jquery
"
Python intern,BE /  B.Tech  ( Engineering )  ,"
Python, Machine Learning, Data Science
"
Python Full Stack Intern,BCA  ( Computer Application )  ,"
Python, Django, Angularjs, JavaScript, MySQL, HTML, CSS, Bootstrap, Jquery, Github, Git, c++, C Programming, pycharm, Visual Studio
"
Senior Software Developer & Python Back End API Developer,"B.com.  ( Commerce )  , MCA /  PGDCA
                  	
	                  	
	                       		2006
	                    
                    	","Technical Proficiency, Planning/Organizing, Interpersonal Abilities,
AJAX, api integragion, Cakephp, Curl, Git, HTML, Jason, Java Script, Joomla, JQUERY, MYSQL 5.0, OS-COMMERCE, PHP4.2 & 5, phpfox 3, Shop, SMARTY, SQL SERVER 2000, XML, Python, Django, PostgreSQL
"
"Python Developer, Executive Engineer",BE /  B.Tech  ( Engineering )  ,"Technical Proficiency, Communication Proficiency, Creative Proficiency,
Auto CAD, nx, c#, Customization, Python, Django, MySQL
"
"Python PHP Developer, php programmer","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Management Proficiency, Creative Proficiency,
PHP, mysql, AJAX, HTML, Python, Django, Mongodb, Unit Testing, Git, Github, JavaScript, Api
"
"PYTHON DEVELOPER, Python developer",BE /  B.Tech  ( Engineering )  ,"
Python, Microsoft SQL, JavaScript, Agile Methodology
"
"PYTHON Developer, ASSOCIATE",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Creative Proficiency, Planning/Organizing,
Python, Mysql, Html
"
"Python Developer, Python Developer",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Accomplishments, Training/Mentoring,
Python, Django, Python Flask, fastapi, core python, webscraping
"
"Python developer , Junier Developer",BE /  B.Tech  ( Engineering )  ,"
Python, Django, Mysql, Html, Css, flask
"
Software Developer - Python,"Training/Mentoring, Communication Proficiency, Creative Proficiency,","
, Aws Certified, Amazon Aws, Aws-cwi, Amazon Elastic Compute Cloud, Cloud Computing
"
python django developer,,"
Python, Django, Rest Api, drf, flask, Javascript
"
"Python Developer , Python Developer",BE /  B.Tech  ( Engineering )  ,"
Good Knowledge of SQL server, Python, HTML, CSS, Django, Javascript
"
"Python Developer and Data Scientist , Technical Consultant",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Teamwork, Management Proficiency,
, Python, Data Scientist, Machine Learning
"
"Sr. Developer , Automation Python, Sr. Tech. Lead","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2008
	                    
                    	","Creative Proficiency, Technical Proficiency, Management Proficiency,
c#, SQL Server, XML, python scraping, win form, scrapy, beautiful soup or urlib, request
"
Python developer ( trainer ),BE /  B.Tech  ( Engineering )  ,"
Python With Django Developer
"
Python Trainee,BE /  B.Tech  ( Engineering )  ,"
Python, Amazon Aws, Oracle sql / plsql developer
"
Python Django Developer Intern,Diploma-Engineering ,"
Python, Django, Rest Api, mySQL, jQuery, Angular, HTML, CSS, JavaScript, Bootstrap
"
Python / Django Developer,B.Sc.  ( Science )  ,"
Python, Django, Numpy, Matplotlib, seaborn, pandas, git, Rest Api, git, Basic Javascript, AJAX, basic jQuery, postgresql, MySQL, Bootstrap
"
"Sr. Python Developer, Sr Python Developer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2010
	                    
                    	","Planning/Organizing, Technical Proficiency, Research Proficiency,
Python, Django, PostgreSQL, Neo4j, Elastic Search, Linux, Rest Api, Git, Github, unitest, Selenium, Putty, Winscp, Filezilla, odoo, Openerp, Application Integration, Jenkins, logstash, Kibana, filebeat, Kafka, Docker, kubernate, helm chart
"
Jr. Python Developer,BE /  B.Tech  ( Engineering )  ,"
Python, MySQL, Core Java
"
python full stack developer,BE /  B.Tech  ( Engineering )  ,"
, Html, CSS, JavaScript, Python, Django, Flask, Numpy, Pandas, Matplotlib, Serborn, Scipy, Pyramid, Scikit learn, Tensorflow, Keras, pyTorch, Theano, Boken, Ggplot, Web scraping, Image processing, Data modeling, Data processing, Data fundamental, Data Visualization, For gui application
"
"Python Developer, software developer ( Python )",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Communication Proficiency, Accomplishments,
Python, oracle development, pl / sql, sql server, Linux, flask, ninja, numpy, mysqldb, Django, Docker, Orm, pandas, Selenium, beautiful soup, Etl, scrapy
"
PYTHON DEVELOPER & INTERN,BE /  B.Tech  ( Engineering )  ,"
Python, Advanced SQL, flask, Machine Learning, Power Bi, Data Visualization, Data Analyst, pandas, numpy, Mongodb
"
python developer,B.Sc.  ( Science )  ,"
Python, Django, MySQL
"
Python Automation Engineer,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2020
	                    
                    	","
Python, Selenium, pytest, JIRA, Git, Robot Framework, Manual Testing
"
Python Data analyst,"B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Teamwork, Accomplishments, Communication Proficiency,
Advanced Excel, aws glue, data engineer, etl pipeline, Python, sql, Power Bi, Plotly, Dash, Dashboards, Google sheet, Python report automation, ETL pipeline
"
Senior python developer,"B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2015
	                    
                    	","Planning/Organizing, Research Proficiency, Training/Mentoring,
, Python developer, Django, Flask, Web2py, HTML5, Javascript Developer
"
Python automation developer,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Research Proficiency, Analytical Proficiency,
Python, Django, SQL Server, Panda, Git, Regex, Data Analyst, Etl Informatica, Airflow, AWS basic
"
Python Djnago Devloper,Diploma-Engineering ,"
Core Java, Java Developer, Servlets, Jsp, Html, Sql, Java, Python, Django, PostgreSQL
"
Python engineering,"BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2018
	                    
                    	","Teamwork, Research Proficiency, Planning/Organizing,
Python
"
"Senior Analyst ( Snowflake / PLSQL / Python Developer ) , Senior Software Engineer ( PLSQL and SQL Developer )","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2015
	                    
                    	","Planning/Organizing, Teamwork, Research Proficiency,
snowflake, Amazon Aws, Python, plsql
"
"Python Developer, Technical Support Associate",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Teamwork, Accomplishments,
Python, Django, Git, data structures and algorithm, MySQL, Ubuntu, Html5, Css3, Mongodb
"
"Trainer Python , Data Science, Assistant Professor","Ph.D.  ( Doctorate ) 
                  	
	                  	
	                       		2021
	                    
                    	","Interpersonal Abilities, Leadership Proficiency, Planning/Organizing,
Python, Machine Learning, Data Science
"
"Python / Django Developer, Training in sql","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2016
	                    
                    	","
Python, Django, Html5, JavaScript, Css, MS SQL Server, MS SQL, Ms Excel, Boostrap
"
"Full stack python developer, Appeal checker",BCA  ( Computer Application )  ,"
full stack python developer, Django, Python, Css3, Html5, Bootstrap, JavaScript, AJAX, Json, Xml Parsing
"
Python developer and Data scientist,Diploma-Engineering ,"
Python, Django, Mysql, Dart, flutter, R Language
"
Python Data Scientist,"BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2018
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Analytical Proficiency,
Python, Django, Mongodb, Machine Learning, Predictive Modeling, Logistic Regression, Linear Regression, sql, Microsoft SQL, pyspark, Data Scientist, Power Bi, tableu, MySQL, Html, Css
"
Junior Data Scientist,"B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2017
	                    
                    	","
Data Science, Data Analysis, Data Scientist, Python, flask, Machine Learning, Tableau, deep learning, MySQL, Computer Vision, Opencv, Image Processing, pandas, numpy, Statistics, Nlp
"
Data Scientist,BE /  B.Tech  ( Engineering )  ,"
Data Analyst, Data Science, Data Scientist, Machine Learning, Nlp
"
data scientist,B.com.  ( Commerce )  ,"
Python, Machine Learning, Data Scientist, Nlp, Opencv, mediapipe, Deployment, deep learning
"
"Data scientist ( intern ) , BILOGY TEACHER","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2012
	                    
                    	","Interpersonal Abilities, Research Proficiency, Analytical Proficiency,
Python, Visualization, Data Analysis, Data Mining, Power Bi, Data Modeling, Predictive Analysis, Text Mining, Machine Learning, open cv, Data Science, MySQL, Data Scientist, Tableau, deep learning
"
Junior data scientist,"B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2015
	                    
                    	","Interpersonal Abilities, Communication Proficiency,
python, data science, html, mysql, data analyst, data engineer, numpy, artificial intelligence, data visualization, data scientist, sql, deep learning, excel
"
"Senior Data Scientist, Application Development Analyst",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Communication Proficiency, Training/Mentoring,
Data Scientist, Linear Regression, Logistic Regression, Machine Learning, Natural Language Processing, Neural Network, Predictive Analytics, Predictive Modeling, Python, Regression Analysis
"
